Object Name, Average Position Distance, Distance Standard Deviation, Max Position Distance, Worse 1% Position Distance, Average Rotation Distance, Standard Deviation, Max Rotation Distance, Worse 1% Rotation Distance
headset,0.07506966838450736,0.03703543595500217,0.19413505370935374,0.185152432756544,0.02421776259306314,0.014535588828001666,0.06887720082857651,0.06445737215446164
lcontroller,0.15123946463347876,0.08207873757107426,0.51982466918927,0.45120886019657586,0.02127119773422471,0.011463393281199755,0.06020053624862992,0.0560968061549443
rcontroller,0.10404738288079712,0.04534673052137386,0.3193913393410042,0.24532077252796708,0.025942972747229013,0.01820032137835812,0.09953565101400895,0.09478312576329176
basestation0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basestation1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basestation2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tracker0,0.1607350013616808,0.08352793429506984,0.41140450762507247,0.38634368376856315,0.022745397086653674,0.010606786155867274,0.05797177287596324,0.054902374604162765
tracker1,0.14510849013392602,0.0716377872084479,0.47441190982340736,0.3965838055704828,0.04152589112596158,0.0207052651625479,0.10053665277551578,0.0960444161202182
tracker2,0.13998790382341184,0.07601499528941127,0.3856518238834121,0.3717323757634275,0.02034616198231025,0.00990738565365649,0.05146686342821336,0.04970180023271518
